Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
Who you work with and under is everything,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76927997.htm,4.0,"May 30, 2023",Planning Consultant,Current Employee,"Scottsdale, AZ",Pros,Company itself cares about employees and clients. Technology and resources are top notch. Private company so able to enact change quickly. Great benefits and company match,Cons,"Want you to do beyond your job scope without increase in pay, micromanaging at some places but not all, metrics constantly changing",
Great company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79754225.htm,5.0,"Sep 4, 2023",Stock Plan Associate,"Current Employee, more than 1 year","Merrimack, NH",Pros,"Good retirement benefits, excellent upward mobility",Cons,Entry level pay is low,
"Good WLB, slow tech",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79215135.htm,4.0,"Aug 16, 2023",Data Engineer,Current Employee,,Pros,"wlb is mostly great. If you're a ""rockstar"" you'll be workhorse, Culture is good. Nice people overall and in office sometimes have fun events.",Cons,tech is lagging. Everything from COBOL to ML. Lots of legacy,
"Good experience, but only in the business sense.",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74365696.htm,2.0,"Mar 9, 2023",Retirement Representative,Former Employee,,Pros,"Competitive pay and great benefits. Hybrid work schedule (1 week per month in office). Lots of support in terms of training. A good place for people who like call center work. Gave me enough experience to move on to a role in a field that I want to work in. They are actively hiring unlike a lot of financial firms, which is a testament to the strong market position that they have.",Cons,"Soul sucking work. Customers have just gotten worse and worse regarding their behavior since I started working here. No assigned seating when working on-site. Upper and Middle management is very beaurcratic and unemapthetic. Expect any accommodations you try to make to take several weeks to be approved. Office politics are more important than merit in terms of career progression when aiming for roles higher into the organization. Very structured (which is both a good and bad thing). Not a good place for creative minds to prosper, especially early in your career.",3
Great Time,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79206089.htm,5.0,"Aug 16, 2023",Customer Service Representative,Former Employee,"Boston, MA",Pros,I didn't work there but need to do this to see some tips for a different job I'm applying to.,Cons,See pros. They are the same pros and cons. Weird.,1
Every company has pros/cons,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75684864.htm,4.0,"Apr 20, 2023",Talent Acquisition Consultant,"Current Employee, more than 3 years","Denver, CO",Pros,"Good benefits, growth opportunities, ERGs",Cons,"Non flexible dynamic work weeks have been a struggle personally. They don't care how anyone feels about them. Instead of scheduling a ""required"" week, why not assign how many days you're required to go in a month with flexibility. As a recruiter- I can do my work remotely and it's been inconvenient driving to the office which means less productivity time to do my work. There shouldn't a strict schedule to follow. Mixed signals from upper management on expectations for dynamic work weeks. They boasted how dynamic work is meant for connecting , but then get in trouble for connecting too much? Doesn't make sense.",1
Great company - exp will vary based on local management,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77828297.htm,5.0,"Jun 29, 2023",Financial Consultant,"Former Employee, more than 3 years","Fairfield, CT",Pros,Really good HDHP $750 HSA contribution from company 10% profit share 7% match No Prospecting,Cons,Local management - middle management - does not communicate well in a lot of instances leading to frustrating and variability in goals/objectives - can at times feel like you are running up a hill that keeps getting higher,
Very inclusive culture,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78902490.htm,5.0,"Aug 6, 2023",Director,"Current Employee, more than 8 years","Westlake, TX",Pros,"Very people friendly environment, customer interest first, great leadership, great work, focus on adopting new technologies",Cons,"Changes are sometimes tricky to do due to the complex nature of work but I feel it’s important to consider all aspects to ensure customer best interest, company integrity and reputation.",
Okay company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79673610.htm,4.0,"Aug 31, 2023",High Net Worth Financial Representative,Former Employee,"West Lake Stevens, WA",Pros,Not the best but not the worst,Cons,Low pay lots of red tape,
Tough but fair,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78533147.htm,3.0,"Jul 24, 2023",Communications Consultant,"Current Employee, more than 5 years","Covington, KY",Pros,"The benefits are great, but you are going to work very hard.",Cons,"Work life balance isn’t great. Since I left, I’ve discovered I didn’t make as much as my peers. I also never received any shares as they did. It’s very political, and the people there are so focused on appearances!",
